id,category,incoming_email,historical_reply,intent,resolution_type,split
E0140,account_access,"Hi team, my account seems to have been suspended and I don't know why.","Hello Wei, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0141,account_access,"Hi, I can't log into my account anymore. It keeps saying my credentials are invalid. Can you help?","Hello Jordan, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0107,damaged_product,"Hi, unfortunately my order ORD-20543 arrived broken. I'd like a replacement or refund.","Hello Sofia, apologies for the damage on order ORD-20543. I've started a replacement shipment for you at no extra cost, and you won't need to return the damaged item.",report that a received product arrived damaged,replacement_or_refund,reference
E0221,duplicate_charge,"Hello, I see two identical charges of $79.99 on my card for the same coffee grinder order. Please help.","Hello Ethan, thanks for letting us know. I've verified the duplicate charge and processed a refund for the second charge on order ORD-65851.",report being charged twice for the same order,duplicate_refunded,reference
E0220,duplicate_charge,"Hello, I see two identical charges of $79.99 on my card for the same office chair order. Please help.","Hi Omar, I'm sorry for the duplicate charge on order ORD-48504. I've confirmed it was billed twice in error and have refunded the extra charge; it should appear in 5-7 business days.",report being charged twice for the same order,duplicate_refunded,reference
E0010,refund_request,"Hi team, I purchased a blender on May 21 (order ORD-70589) and would like to return it for a refund.","Hi Wei, thanks for reaching out. I'm sorry the blender didn't meet your expectations. I've initiated a refund for order ORD-70589; you should see the amount back in your account within 5-7 business days.",request a refund for a purchase,refund_initiated,reference
E0183,password_reset,"Hi team, how do I reset my account password? I tried the usual link with no luck.","Hello Sofia, sorry about that. I've resent the password reset link to your registered email. If it doesn't show up shortly, I can reset it manually from our end.",request help resetting their password,steps_provided,evaluation
E0385,exchange_request,"Hello, the running shoes I received doesn't fit as expected. Can I exchange it for another size?","Hello Aisha, happy to help with the exchange. I've arranged for a new running shoes to be shipped and included a prepaid label for returning the original from order ORD-28327.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0016,refund_request,"Hello, I'm not happy with my recent purchase (ORD-71348). I'd like a full refund for the desk lamp, please.","Hello Ethan, I understand the frustration. I've processed a refund request for order ORD-71348. Please allow 5-7 business days for the funds to appear on your original payment method.",request a refund for a purchase,refund_initiated,reference
E0398,exchange_request,"Hello, the smart watch I received doesn't fit as expected. Can I exchange it for another size?","Hello Priya, happy to help with the exchange. I've arranged for a new smart watch to be shipped and included a prepaid label for returning the original from order ORD-75484.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0111,cancellation,"Hi team, can you cancel order ORD-53228? I placed it by mistake.","Hi Wei, I've cancelled order ORD-53228 for you. Since it hadn't shipped yet, no charges will be applied and any pending authorization will be released within a few business days.",cancel an order before it ships,order_cancelled,reference
E0123,cancellation,"Hi team, can you cancel order ORD-96991? I placed it by mistake.","Hello Chloe, order ORD-96991 has been successfully cancelled. You won't be charged, and you'll receive a confirmation email shortly.",cancel an order before it ships,order_cancelled,reference
E0222,duplicate_charge,"Hi, I was charged twice for order ORD-67008. Can you refund the duplicate charge?","Hello Ethan, thanks for letting us know. I've verified the duplicate charge and processed a refund for the second charge on order ORD-67008.",report being charged twice for the same order,duplicate_refunded,evaluation
E0048,order_status,"Hi there, just checking in on order ORD-83385 placed July 20. Any updates?","Hi Diego, thanks for checking in. Order ORD-83385 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,reference
E0179,password_reset,"Hi team, how do I reset my account password? I tried the usual link with no luck.","Hello Diego, sorry about that. I've resent the password reset link to your registered email. If it doesn't show up shortly, I can reset it manually from our end.",request help resetting their password,steps_provided,reference
E0054,order_status,"Hi, can you tell me the status of my order ORD-66959? I placed it on December 26 and haven't heard anything.","Hi Ethan, thanks for checking in. Order ORD-66959 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,reference
E0040,order_status,"Hi there, just checking in on order ORD-55745 placed February 8. Any updates?","Hello Sam, I checked on order ORD-55745 for you — it's in our fulfillment queue and should ship within 1-2 business days.",check the current status of an order,status_provided,reference
E0376,address_change,"Hi, I need to update the shipping address for order ORD-67840 before it ships. Can you help?","Hi Wei, I've updated the shipping address for order ORD-67840. Since it hasn't shipped yet, the new address will be used for delivery.",update or correct a shipping address,address_updated,reference
E0241,duplicate_charge,"Hi team, order ORD-42096 appears to have been billed twice by mistake.","Hello Liam, thanks for letting us know. I've verified the duplicate charge and processed a refund for the second charge on order ORD-42096.",report being charged twice for the same order,duplicate_refunded,reference
E0210,billing_issue,"Hi team, there seems to be a billing error on my account related to order ORD-66261.","Hi Noah, thanks for flagging this. I looked into order ORD-66261 and the $49.99 charge reflects the item price plus applicable tax. I've attached a breakdown for clarity — let me know if anything still looks off.",resolve a billing discrepancy,billing_corrected_or_explained,evaluation
E0012,refund_request,"Hello, I'm not happy with my recent purchase (ORD-84341). I'd like a full refund for the notebook set, please.","Hi Fatima, thanks for reaching out. I'm sorry the notebook set didn't meet your expectations. I've initiated a refund for order ORD-84341; you should see the amount back in your account within 5-7 business days.",request a refund for a purchase,refund_initiated,reference
E0152,account_access,"Hi team, my account seems to have been suspended and I don't know why.","Hi Lucas, sorry for the trouble logging in. I've unlocked your account — please try logging in again, and use the 'Forgot Password' link if you'd like to set a new password.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0043,order_status,"Hello, I'd like an update on order ORD-37607 for the water bottle. Is it still on track?","Hello Ethan, I checked on order ORD-37607 for you — it's in our fulfillment queue and should ship within 1-2 business days.",check the current status of an order,status_provided,evaluation
E0114,cancellation,"Hi team, can you cancel order ORD-16764? I placed it by mistake.","Hello Sofia, order ORD-16764 has been successfully cancelled. You won't be charged, and you'll receive a confirmation email shortly.",cancel an order before it ships,order_cancelled,evaluation
E0397,exchange_request,"Hello, the yoga mat I received doesn't fit as expected. Can I exchange it for another size?","Hello Grace, happy to help with the exchange. I've arranged for a new yoga mat to be shipped and included a prepaid label for returning the original from order ORD-18371.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0103,damaged_product,"Hello, the water bottle from order ORD-47762 came with visible damage during shipping. Can you help?","Hi Lucas, I'm sorry to hear the water bottle arrived damaged — that's not the experience we want for you. I can send a free replacement or process a full refund for order ORD-47762, whichever you'd prefer.",report that a received product arrived damaged,replacement_or_refund,reference
E0382,exchange_request,"Hello, the blender I received doesn't fit as expected. Can I exchange it for another size?","Hello Noah, happy to help with the exchange. I've arranged for a new blender to be shipped and included a prepaid label for returning the original from order ORD-27973.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0178,password_reset,"Hi team, how do I reset my account password? I tried the usual link with no luck.","Hello Ravi, sorry about that. I've resent the password reset link to your registered email. If it doesn't show up shortly, I can reset it manually from our end.",request help resetting their password,steps_provided,reference
E0125,cancellation,"Hello, please cancel my order for the air purifier (ORD-71537). I no longer need it.","Hi Jordan, I've cancelled order ORD-71537 for you. Since it hadn't shipped yet, no charges will be applied and any pending authorization will be released within a few business days.",cancel an order before it ships,order_cancelled,reference
E0193,billing_issue,"Hi team, there seems to be a billing error on my account related to order ORD-87993.","Hello Sam, I reviewed your billing history and found the discrepancy. I've corrected it on our end and you should see an updated statement within one billing cycle.",resolve a billing discrepancy,billing_corrected_or_explained,reference
E0110,cancellation,"Hi team, can you cancel order ORD-21959? I placed it by mistake.","Hello Liam, order ORD-21959 has been successfully cancelled. You won't be charged, and you'll receive a confirmation email shortly.",cancel an order before it ships,order_cancelled,reference
E0195,billing_issue,"Hi team, there seems to be a billing error on my account related to order ORD-57425.","Hello Grace, I reviewed your billing history and found the discrepancy. I've corrected it on our end and you should see an updated statement within one billing cycle.",resolve a billing discrepancy,billing_corrected_or_explained,reference
E0038,order_status,"Hello, I'd like an update on order ORD-41285 for the yoga mat. Is it still on track?","Hi Aisha, thanks for checking in. Order ORD-41285 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,reference
E0321,complaint,"Hi, I'm really unhappy with the service I received regarding order ORD-37152. This isn't the experience I expected.","Hello Alex, thank you for your patience and for letting us know. I've logged your feedback about order ORD-37152 and escalated it internally so we can prevent this going forward.",voice a general complaint about service or experience,acknowledged_and_escalated,reference
E0072,delayed_delivery,"Hi team, order ORD-10772 is past its estimated delivery date. Can you look into this?","Hello Liam, apologies for the inconvenience. Order ORD-10772 is currently delayed in transit. I've escalated this to our logistics team and will update you as soon as I have a new estimated delivery date.",report that a delivery is delayed and ask for an update,escalation_or_update,reference
E0085,damaged_product,"Hi, unfortunately my order ORD-67080 arrived broken. I'd like a replacement or refund.","Hello Sam, apologies for the damage on order ORD-67080. I've started a replacement shipment for you at no extra cost, and you won't need to return the damaged item.",report that a received product arrived damaged,replacement_or_refund,reference
E0333,technical_support,"Hi, my yoga mat isn't connecting properly. I've tried restarting it but no luck. Can you help?","Hi Wei, sorry for the trouble. Could you try resetting the yoga mat by holding the power button for 10 seconds, then reconnecting via Bluetooth? Let me know if that resolves it or if you'd like a video walkthrough.",get help with a technical problem using a product or service,troubleshooting_provided,reference
E0139,account_access,"Hello, I'm locked out of my account after a few failed login attempts. What should I do?","Hello Ravi, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0326,technical_support,"Hi, my yoga mat isn't connecting properly. I've tried restarting it but no luck. Can you help?","Hello Jordan, thanks for the details. This is usually caused by outdated firmware — could you update the yoga mat's firmware through the companion app and try again?",get help with a technical problem using a product or service,troubleshooting_provided,reference
E0346,technical_support,"Hello, I'm having trouble setting up my yoga mat. The instructions don't seem to match what I'm seeing.","Hi Liam, sorry for the trouble. Could you try resetting the yoga mat by holding the power button for 10 seconds, then reconnecting via Bluetooth? Let me know if that resolves it or if you'd like a video walkthrough.",get help with a technical problem using a product or service,troubleshooting_provided,reference
E0337,technical_support,"Hello, I'm having trouble setting up my coffee grinder. The instructions don't seem to match what I'm seeing.","Hi Liam, sorry for the trouble. Could you try resetting the coffee grinder by holding the power button for 10 seconds, then reconnecting via Bluetooth? Let me know if that resolves it or if you'd like a video walkthrough.",get help with a technical problem using a product or service,troubleshooting_provided,reference
